r_fighter,b_fighter,winner,r_kd,r_sig_str,r_sig_str_att,r_sig_str_acc,r_str,r_str_att,r_str_acc,r_td,r_td_att,r_td_acc,r_sub_att,r_rev,r_ctrl_sec,r_wins_total,r_losses_total,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_kd,b_sig_str,b_sig_str_att,b_sig_str_acc,b_str,b_str_att,b_str_acc,b_td,b_td_att,b_td_acc,b_sub_att,b_rev,b_ctrl_sec,b_wins_total,b_losses_total,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg
Christian Rodriguez,Isaac Dulgarian,Red,0,48,76,0.63,97,135,0.72,0,0,0,0,0,199,11,1,3.45,2.28,0.48,0.54,0.57,0.66,1.1,1.14,0,22,44,0.5,56,89,0.63,7,16,0.43,2,0,562,6,1,2.88,2.53,0.58,0.47,0.39,0,1.5,6.06
Pannie Kianzad,Macy Chiasson,Blue,0,2,6,0.33,29,35,0.83,1,2,0.5,0,0,52,17,8,4.74,3.67,0.49,0.33,0.53,0.66,0.1,0.46,0,4,10,0.4,5,11,0.45,2,2,1,1,1,148,10,3,3.53,2.53,0.44,0.37,0.46,0.62,0.5,2.38
Gerald Meerschaert,Bryan Barberena,Red,0,11,17,0.64,30,36,0.83,3,7,0.42,2,0,303,36,17,3.18,3.37,0.45,0.38,0.53,0.34,1.6,2.17,0,12,37,0.32,25,50,0.5,0,0,0,0,0,3,18,12,5.35,4.59,0.48,0.22,0.44,0.5,0.3,0.13
Natan Levy,Mike Davis,Blue,0,8,9,0.88,18,20,0.9,1,1,1,0,0,34,8,2,3.7,3.19,0.52,0.58,0.58,0.41,0.5,5.03,1,3,7,0.42,10,15,0.67,0,0,0,1,0,311,11,2,5.35,5.76,0.52,0.53,0.55,0.64,0.4,2.77
Josiane Nunes,Chelsea Chandler,Blue,0,47,105,0.44,49,108,0.45,0,0,0,0,0,26,10,2,5.99,5.25,0.44,0,0.53,0.58,0,0,0,58,130,0.44,100,176,0.57,2,2,1,0,0,422,6,2,3.45,3.09,0.45,0.6,0.49,0.33,0,1.31
Jafel Filho,Ode Osbourne,Red,0,21,35,0.6,43,66,0.65,1,1,1,2,0,201,16,3,2.36,2,0.41,0.33,0.47,0.55,2.6,1.77,0,0,5,0,1,6,0.17,0,0,0,0,0,4,12,7,3.46,4.44,0.38,0.27,0.44,0.64,0.2,1.27
Josh Culibao,Danny Silva,Blue,0,87,202,0.43,89,205,0.43,0,4,0,0,0,3,11,3,3.2,3.24,0.42,0,0.56,0.67,0.3,0,0,45,107,0.42,56,119,0.47,4,9,0.44,1,0,328,9,1,8.3,9.47,0.58,0.5,0.59,1,0.5,3
Jaqueline Amorim,Cory McKenna,Red,0,3,5,0.6,3,5,0.6,0,0,0,4,0,0,8,1,3.33,1.85,0.52,0.23,0.62,0,5.4,1.48,0,4,11,0.36,8,17,0.47,1,1,1,0,0,56,8,3,3,3.19,0.4,0.58,0.48,0.71,0.4,2.22
Thiago Moises,Mitch Ramirez,Red,1,25,39,0.64,53,72,0.74,2,2,1,1,0,396,18,7,2.47,4.19,0.4,0.44,0.55,0.56,1.3,1.64,0,16,48,0.33,28,65,0.43,0,0,0,0,0,21,8,2,2.37,3.34,0.42,1,0.36,0,0,0.91
Charalampos Grigoriou,Chad Anheliger,Blue,0,21,65,0.32,26,70,0.37,4,5,0.8,0,0,324,8,4,2.13,5.56,0.4,0.8,0.46,1,0,3.75,0,85,155,0.54,144,220,0.65,0,2,0,0,0,94,13,7,3.6,3.11,0.45,0.3,0.53,0.42,0.6,0.82
Sean O'Malley,Marlon Vera,Red,0,230,356,0.64,232,358,0.65,0,0,0,0,0,3,18,1,7.63,3.52,0.61,0.42,0.62,0.62,0.3,0.35,0,89,241,0.36,89,241,0.37,0,0,0,0,0,0,23,9,4.31,5.48,0.49,0.39,0.5,0.7,0.9,0.53
Dustin Poirier,Benoit Saint Denis,Red,1,28,34,0.82,30,37,0.81,0,1,0,4,0,31,30,8,5.45,4.36,0.51,0.36,0.53,0.63,1.4,1.33,0,50,74,0.67,69,97,0.71,3,7,0.42,1,0,293,13,2,5.7,4.98,0.54,0.37,0.42,0.69,1.5,4.76
Kevin Holland,Michael Page,Blue,0,29,61,0.47,64,99,0.65,2,5,0.4,1,0,262,25,11,4.24,3.19,0.49,0.38,0.5,0.54,0.6,0.85,0,41,62,0.66,59,81,0.73,0,3,0,0,0,86,22,2,3.14,1.6,0.69,0.25,0.55,0.66,0,0.77
Gilbert Burns,Jack Della Maddalena,Blue,0,27,58,0.46,31,63,0.49,7,11,0.63,0,0,307,22,7,3.29,3.42,0.48,0.38,0.54,0.5,0.5,2.24,1,67,123,0.54,85,146,0.58,0,1,0,0,0,16,17,2,6.74,4.27,0.53,0.16,0.66,0.7,0.2,0.21
Petr Yan,Song Yadong,Red,0,99,183,0.54,129,217,0.59,2,5,0.4,0,0,107,17,5,5.14,4.36,0.53,0.51,0.58,0.85,0.1,1.73,0,86,172,0.5,104,192,0.54,1,8,0.12,0,0,100,21,8,4.49,3.96,0.43,0.4,0.55,0.72,0.2,0.66
Curtis Blaydes,Jailton Almeida,Red,0,16,25,0.64,19,28,0.68,0,0,0,0,0,9,18,4,3.53,1.83,0.5,0.53,0.59,0.31,0,5.72,0,1,3,0.33,9,11,0.82,9,13,0.69,0,0,279,20,3,2.54,0.74,0.64,0.59,0.4,0.75,2.2,6.88
Katlyn Cerminara,Maycee Barber,Blue,0,66,152,0.43,99,186,0.53,1,6,0.16,0,0,172,18,6,4.58,4.48,0.34,0.15,0.62,0.5,0.3,0.31,0,84,150,0.56,122,189,0.65,4,4,1,0,0,285,14,2,4.7,2.9,0.53,0.43,0.54,0.53,0.1,1.44
Mateusz Gamrot,Rafael Dos Anjos,Red,0,57,102,0.55,111,163,0.68,11,19,0.57,0,0,421,24,2,3.09,3.07,0.51,0.35,0.59,0.9,0.1,5.28,1,36,78,0.46,39,82,0.48,0,0,0,0,0,11,32,16,3.48,3.21,0.47,0.35,0.6,0.55,0.6,1.95
Pedro Munhoz,Kyler Phillips,Blue,0,52,140,0.37,52,140,0.37,1,8,0.12,0,0,24,20,9,5.32,6.23,0.43,0.18,0.56,0.82,0.5,0.51,0,114,275,0.41,115,276,0.42,0,0,0,0,0,2,12,2,5.72,3.38,0.45,0.46,0.61,0.75,0.5,2.41
Ion Cutelaba,Philipe Lins,Blue,0,47,97,0.48,119,171,0.7,0,1,0,0,0,16,17,10,4.44,3.43,0.43,0.57,0.47,0.76,0,4.17,0,67,115,0.58,73,121,0.6,2,7,0.28,0,0,334,18,5,3.8,3.59,0.49,0.33,0.46,1,0,1.65
Michel Pereira,Michal Oleksiejczuk,Red,0,11,15,0.73,11,15,0.73,0,0,0,1,0,18,30,11,5.15,3.71,0.54,0.55,0.58,0.94,0.7,1.55,0,1,4,0.25,1,4,0.25,0,0,0,0,0,0,19,7,5.06,4.26,0.5,0.44,0.61,0.48,0,0.75
Robelis Despaigne,Josh Parisian,Red,1,7,9,0.77,7,9,0.78,0,0,0,0,0,2,5,0,23.33,6.67,0.77,0,0.6,0,0,0,0,2,5,0.4,2,5,0.4,0,0,0,0,0,0,15,8,4.55,4.88,0.48,0.33,0.41,0.46,0.2,0.98
CJ Vergara,Asu Almabayev,Blue,0,29,53,0.54,66,92,0.72,0,0,0,0,0,14,12,5,5.24,4.62,0.57,0,0.52,0.6,0.2,0,0,44,77,0.57,85,132,0.64,9,14,0.64,0,0,572,19,2,3.02,1.42,0.59,0.57,0.53,0,1.3,7.12
Joanne Wood,Maryna Moroz,Red,0,136,249,0.54,173,290,0.6,1,1,1,0,0,12,17,8,7.1,4.89,0.51,0.55,0.51,0.58,0.3,1.52,0,102,195,0.52,156,255,0.61,1,2,0.5,0,0,371,11,6,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7
Jairzinho Rozenstruik,Shamil Gaziev,Red,0,127,215,0.59,140,230,0.61,0,1,0,0,0,1,14,5,3.44,2.78,0.49,0,0.47,0.75,0,0,0,22,68,0.32,27,75,0.36,1,7,0.14,0,0,272,12,1,2.63,4.73,0.44,0.14,0.42,1,0.5,0.53
Vitor Petrino,Tyson Pedro,Red,0,27,75,0.36,33,82,0.4,3,5,0.6,0,0,324,11,0,2.74,2.49,0.45,0.68,0.45,0.71,0.8,3.86,0,30,60,0.5,33,64,0.52,0,2,0,0,0,10,10,5,2.9,2.39,0.59,0.3,0.56,0.5,0.8,0.76
Alex Perez,Muhammad Mokaev,Blue,0,30,87,0.34,47,114,0.41,0,0,0,0,0,224,24,8,4.12,3.14,0.46,0.44,0.59,0.82,1,2.26,0,47,104,0.45,56,119,0.47,3,20,0.15,0,0,269,12,0,1.53,1.36,0.48,0.41,0.57,0,1,5.75
Umar Nurmagomedov,Bekzat Almakhan,Red,0,68,98,0.69,145,197,0.74,5,5,1,0,0,686,17,0,4.75,0.56,0.69,0.56,0.76,1,0.6,4.51,1,3,16,0.18,5,25,0.2,0,0,0,0,0,34,11,2,0.2,4.53,0.18,0,0.3,0,0,0
Matt Schnell,Steve Erceg,Blue,0,22,78,0.28,25,84,0.3,0,0,0,0,0,0,16,8,4.23,4.56,0.38,0.44,0.55,0.5,1,0.59,1,34,72,0.47,34,72,0.47,0,1,0,0,0,5,12,1,4.57,3.64,0.48,0.3,0.55,0.77,0.8,1.69
Eryk Anders,Jamie Pickett,Red,0,23,59,0.38,83,147,0.56,5,13,0.38,0,0,608,16,8,3.41,4.17,0.47,0.26,0.5,0.79,0.1,1.79,1,20,55,0.36,26,64,0.41,0,0,0,0,0,16,13,11,2.65,3.62,0.47,0.4,0.5,0.67,0.1,1.26
Vinicius Oliveira,Benardo Sopaj,Red,1,67,144,0.46,88,170,0.52,2,4,0.5,0,0,96,20,3,5.42,2.94,0.47,0.5,0.5,0.4,0,1.69,0,45,86,0.52,92,146,0.63,3,4,0.75,0,0,268,11,3,3.06,4.56,0.52,0.75,0.53,0.5,0,3.06
Aiemann Zahabi,Javid Basharat,Red,0,75,174,0.43,77,176,0.44,0,0,0,0,0,13,11,2,3.43,3.61,0.43,0.16,0.71,0.79,0,0.2,0,67,205,0.32,67,205,0.33,0,4,0,0,0,0,14,1,5.42,2.97,0.53,0.4,0.62,0.85,0.2,1.7
Christian Leroy Duncan,Claudio Ribeiro,Red,0,65,92,0.7,75,105,0.71,1,2,0.5,0,0,135,10,1,5.96,3.82,0.62,0.14,0.5,0.5,0,0.45,0,4,26,0.15,13,39,0.33,0,0,0,0,0,63,11,5,3.59,4.9,0.51,0.5,0.3,0.66,0,0.56
Ludovit Klein,AJ Cunningham,Red,1,60,91,0.65,63,95,0.66,2,3,0.66,0,0,27,21,4,3.96,3.74,0.55,0.47,0.53,0.83,0,1.77,0,36,75,0.48,36,77,0.47,0,0,0,0,0,26,11,4,7.66,11.9,0.29,0,0.48,0.33,0,0
Abdul-Kareem Al-Selwady,Loik Radzhabov,Blue,0,38,68,0.55,50,84,0.6,3,7,0.42,0,0,164,15,4,4.14,3.6,0.34,0.3,0.59,0.2,0,2.32,1,39,90,0.43,57,115,0.5,4,5,0.8,0,0,87,18,5,2.93,4.73,0.42,0.57,0.45,0.55,0,6.73
Brandon Moreno,Brandon Royval,Blue,0,112,211,0.53,119,219,0.54,3,5,0.6,0,0,174,21,8,3.87,3.63,0.44,0.46,0.59,0.63,0.5,1.74,0,145,510,0.28,177,556,0.32,1,2,0.5,0,0,35,16,7,4.33,3.42,0.36,0.6,0.46,0.4,1.1,0.47
Yair Rodriguez,Brian Ortega,Blue,1,55,115,0.47,64,135,0.47,0,1,0,0,0,92,16,5,4.65,3.99,0.46,0.27,0.52,0.58,0.7,0.69,0,28,73,0.38,47,104,0.45,3,6,0.5,1,0,321,16,3,4.07,6.54,0.38,0.27,0.49,0.57,1.2,1.17
Daniel Zellhuber,Francisco Prado,Red,0,120,272,0.44,120,272,0.44,0,0,0,0,0,5,15,1,5.86,5.06,0.41,0.33,0.56,0.94,0.2,0.22,0,90,246,0.36,91,249,0.37,0,0,0,0,0,25,12,2,4.58,5.66,0.41,0,0.52,0.25,0.4,0
Yazmin Jauregui,Sam Hughes,Red,0,94,269,0.34,97,272,0.36,0,0,0,0,0,0,11,1,6.26,5.12,0.38,0,0.55,1,0,0,0,83,197,0.42,88,206,0.43,0,6,0,0,0,17,8,6,4.03,4.51,0.45,0.3,0.56,0.57,0,0.96
Manuel Torres,Chris Duncan,Red,0,3,5,0.6,5,7,0.71,2,2,1,1,0,42,15,2,8.14,3.15,0.58,0.66,0.56,0.88,1.6,3.26,0,1,2,0.5,1,2,0.5,1,3,0.33,0,0,40,11,2,4.88,3.65,0.46,0.38,0.49,0.33,0,3.85
Cristian Quinonez,Raoni Barcelos,Blue,0,29,82,0.35,43,99,0.43,2,7,0.28,0,0,193,18,5,4.19,4.55,0.4,0.37,0.55,0.84,0,1.37,0,43,74,0.58,48,81,0.59,2,12,0.16,2,0,62,18,5,5.22,4.79,0.51,0.32,0.61,0.85,0.6,1.86
Jesus Aguilar,Mateus Mendonca,Red,0,19,36,0.52,38,62,0.61,1,4,0.25,1,1,291,10,2,1.49,1.11,0.5,0.33,0.59,0.4,1.4,1.9,0,18,40,0.45,43,90,0.48,4,8,0.5,1,0,524,10,3,1.66,4.14,0.4,0.27,0.3,0.55,0.4,2.54
Edgar Chairez,Daniel Lacerda,Red,0,9,15,0.6,9,15,0.6,0,0,0,1,0,0,11,5,2.69,4.1,0.48,0,0.43,0.41,1.7,0,0,4,17,0.23,7,22,0.32,1,1,1,0,0,41,11,6,3.95,8.28,0.45,0.5,0.34,0,1.2,2.32
Claudio Puelles,Fares Ziam,Blue,0,4,9,0.44,17,27,0.63,7,13,0.53,0,0,434,13,4,1.56,2.78,0.49,0.36,0.46,0.6,1.2,3.17,0,31,48,0.64,58,82,0.71,0,0,0,1,2,270,15,4,2.7,1.72,0.48,0.23,0.65,0.67,0.2,0.81
Ronaldo Rodriguez,Denys Bondar,Red,0,31,69,0.44,50,93,0.54,0,0,0,1,3,176,17,2,2,3.56,0.41,0.5,0.47,0.63,1.8,1.2,0,41,63,0.65,46,77,0.6,4,6,0.66,0,1,172,14,5,4.59,5.16,0.5,0.58,0.56,0.62,0,3.99
Victor Altamirano,Felipe dos Santos,Blue,0,40,74,0.54,52,97,0.54,9,11,0.81,0,0,302,12,4,4.55,3.7,0.57,0.39,0.54,0.63,0,3.43,0,37,87,0.42,62,120,0.52,0,0,0,1,0,51,8,1,4.53,5.07,0.34,0,0.4,0.16,0.5,0
Erik Silva,Muhammad Naimov,Blue,0,0,1,0,0,1,0,0,0,0,0,0,13,9,3,2.07,1.57,0.7,0.8,0.4,0.62,0,3.76,0,1,2,0.5,3,4,0.75,1,1,1,0,0,11,11,2,3.33,4.57,0.46,0.33,0.41,0.57,0,1.94
Alexander Volkanovski,Ilia Topuria,Blue,0,47,107,0.43,47,107,0.44,0,0,0,0,0,0,26,4,6.16,3.44,0.56,0.37,0.58,0.7,0.2,1.78,1,35,77,0.45,36,78,0.46,0,0,0,0,0,3,15,0,4.4,3.35,0.46,0.56,0.65,0.92,1.3,1.92
Robert Whittaker,Paulo Costa,Red,0,95,175,0.54,95,175,0.54,0,1,0,0,0,0,26,7,4.57,3.45,0.42,0.38,0.59,0.82,0,0.81,0,67,151,0.44,67,151,0.44,0,0,0,0,0,0,14,3,6.2,6.38,0.58,0.75,0.47,0.8,0,0.45
Geoff Neal,Ian Machado Garry,Blue,0,46,89,0.51,57,102,0.56,0,0,0,0,0,225,15,6,4.97,5.47,0.5,0.44,0.57,0.87,0.1,0.46,0,67,135,0.49,80,148,0.54,0,0,0,0,0,12,14,0,6.27,3.49,0.55,0.75,0.53,0.69,0,0.55
Merab Dvalishvili,Henry Cejudo,Red,0,74,172,0.43,167,273,0.61,5,11,0.45,1,0,263,17,4,4.5,2.37,0.41,0.36,0.57,0.8,0.3,6.43,0,29,78,0.37,54,106,0.51,1,7,0.14,0,0,125,16,4,3.77,3.29,0.46,0.32,0.6,0.75,0.2,1.99
Anthony Hernandez,Roman Kopylov,Red,0,34,77,0.44,39,82,0.48,3,14,0.21,2,0,245,12,2,4.3,3.46,0.59,0.49,0.45,0.63,3,6.62,0,35,57,0.61,41,63,0.65,0,0,0,0,0,0,12,3,4.66,4.1,0.54,0.5,0.6,0.87,0,0.42
Amanda Lemos,Mackenzie Dern,Red,1,41,80,0.51,47,86,0.55,2,2,1,0,0,242,14,3,3.43,4.21,0.54,0.63,0.44,0.57,0.7,0.98,0,21,54,0.38,50,85,0.59,1,3,0.33,0,2,360,13,5,3.31,4.09,0.4,0.15,0.51,0.28,1.3,0.79
Marcos Rogerio de Lima,Junior Tafa,Red,1,33,46,0.71,63,78,0.81,1,3,0.33,0,0,206,22,10,3.7,2.9,0.57,0.45,0.51,0.59,0.5,1.4,0,11,27,0.4,17,33,0.52,0,0,0,0,0,0,5,2,1.81,1.86,0.4,0,0.5,0.81,0,0
Rinya Nakamura,Carlos Vera,Red,0,38,70,0.54,73,114,0.64,3,3,1,0,0,783,9,0,3.53,1.38,0.54,0.9,0.67,1,1.6,3.72,0,12,25,0.48,55,79,0.7,0,0,0,0,0,0,11,4,0.8,2.53,0.48,0,0.45,0,0,0
Zhang Mingyang,Brendson Ribeiro,Red,1,17,28,0.6,17,28,0.61,0,0,0,0,0,2,17,6,9.23,6.39,0.57,0,0.57,0,0,0,0,14,31,0.45,14,31,0.45,0,0,0,0,0,0,15,6,8.41,6.77,0.46,0,0.56,0,0,0
Josh Quinlan,Danny Barlow,Blue,0,39,90,0.43,39,90,0.43,0,1,0,0,0,0,6,2,3.59,6.91,0.42,0.11,0.49,0.6,0,0.51,1,95,185,0.51,96,186,0.52,0,0,0,0,0,13,8,0,8.8,3.65,0.52,0,0.57,1,0,0
Oban Elliott,Val Woodburn,Red,0,70,111,0.63,136,188,0.72,3,5,0.6,0,0,538,10,2,4.27,2.17,0.53,0.5,0.61,0,0,3.5,1,23,61,0.37,30,70,0.43,2,2,1,0,1,116,7,2,1.6,4.93,0.35,1,0.36,0.5,0,1.92
Andrea Lee,Miranda Maverick,Blue,0,36,102,0.35,59,126,0.47,2,3,0.66,1,0,42,13,9,4.69,3.76,0.46,0.58,0.62,0.55,0.6,1.85,0,66,136,0.48,106,180,0.59,3,8,0.37,0,0,185,15,5,3.8,2.6,0.47,0.46,0.59,0.4,0.4,2.49
Jack Hermansson,Joe Pyfer,Red,0,121,235,0.51,188,327,0.57,1,2,0.5,0,0,188,24,8,5.09,3.69,0.44,0.3,0.56,0.8,0.4,1.53,0,92,250,0.36,95,254,0.37,0,6,0,0,0,50,12,3,3.66,3.58,0.4,0.41,0.51,0.5,0.9,1.49
Dan Ige,Andre Fili,Red,1,11,19,0.57,11,19,0.58,0,0,0,0,0,1,18,7,3.76,3.52,0.45,0.26,0.57,0.58,0.3,1.06,0,8,33,0.24,8,33,0.24,0,0,0,0,0,0,23,11,3.85,4.11,0.37,0.47,0.51,0.69,0.3,2.16
Robert Bryczek,Ihor Potieria,Blue,0,32,133,0.24,41,143,0.29,0,0,0,0,0,30,17,6,2.13,4.47,0.24,0,0.6,1,0,0,1,67,168,0.39,77,181,0.43,0,4,0,0,0,157,20,5,5.19,5.01,0.5,0,0.51,0.57,0,0
Brad Tavares,Gregory Rodrigues,Blue,0,37,84,0.44,42,90,0.47,0,0,0,0,0,0,20,10,3.38,3.15,0.43,0.26,0.55,0.81,0,0.78,0,71,123,0.57,79,135,0.59,2,6,0.33,0,0,198,15,5,6.08,5.3,0.55,0.45,0.51,1,0.5,2.46
Michael Johnson,Darrius Flowers,Red,0,61,112,0.54,80,138,0.58,4,8,0.5,0,0,362,23,19,4.27,3.83,0.39,0.41,0.57,0.81,0,0.62,0,33,64,0.51,52,86,0.6,0,2,0,0,0,43,12,7,2.94,5.16,0.54,0.2,0.43,0.6,0,0.63
Rodolfo Vieira,Armen Petrosyan,Red,0,6,11,0.54,14,21,0.67,3,3,1,1,0,166,10,2,3.19,4.6,0.54,0.3,0.49,1,1.6,4.18,0,9,20,0.45,14,25,0.56,0,0,0,0,0,0,9,3,5.69,2.9,0.52,0.33,0.56,0.31,0,0.22
Trevin Giles,Carlos Prates,Blue,0,68,102,0.66,70,105,0.67,0,2,0,0,0,88,16,6,3.27,2.22,0.55,0.5,0.58,0.71,0.3,1.19,1,37,72,0.51,38,73,0.52,0,0,0,0,0,0,18,6,4.38,5.95,0.56,0,0.37,0.66,0,0
Bolaji Oki,Timmy Cuamba,Red,0,60,152,0.39,61,157,0.39,1,1,1,0,0,109,9,1,5.18,2.53,0.43,1,0.64,0.83,0,0.84,0,33,94,0.35,35,96,0.36,1,6,0.16,0,0,115,8,2,2.53,4.23,0.34,0.16,0.57,0.71,0,0.5
Loma Lookboonmee,Bruna Brasil,Red,0,58,112,0.51,73,131,0.56,1,2,0.5,0,0,55,9,3,4.1,2.48,0.57,0.5,0.53,0.72,0.1,1.9,0,28,63,0.44,52,99,0.53,1,2,0.5,0,0,149,9,4,2.94,3.92,0.62,0.62,0.51,0.53,0,1.59
Devin Clark,Marcin Prachnio,Blue,0,53,127,0.41,53,127,0.42,0,2,0,0,0,14,14,9,3.03,3.24,0.54,0.32,0.44,0.58,0.1,2.17,0,101,189,0.53,112,204,0.55,1,1,1,0,0,44,17,7,5.61,3.3,0.55,0.2,0.54,0.58,0,0.17
Max Griffin,Jeremiah Wells,Red,0,26,53,0.49,36,65,0.55,1,2,0.5,0,0,100,20,10,3.92,3.81,0.49,0.41,0.57,0.68,0.3,1.45,0,32,86,0.37,43,97,0.44,1,2,0.5,0,0,100,12,4,2.41,1.31,0.43,0.44,0.48,0.8,0.8,3.08
Zac Pauga,Bogdan Guskov,Blue,0,17,26,0.65,19,28,0.68,0,2,0,0,0,64,7,3,4.46,2.73,0.62,0.07,0.58,1,0,0.38,1,10,29,0.34,25,44,0.57,0,0,0,0,0,4,15,3,2.43,5.81,0.33,0,0.4,0.66,0,0
Fernie Garcia,Hyder Amil,Blue,0,26,79,0.32,31,87,0.36,0,0,0,0,1,56,10,5,2.04,3.79,0.34,0.5,0.48,0.5,0.6,0.28,1,79,144,0.54,109,194,0.56,1,3,0.33,2,1,140,9,0,4.73,2.16,0.54,0.33,0.61,0.78,2,0.68
